rule,slug,round_end_utc,side,winning_side,hit,entry_ask_proxy,pnl_proxy_1x,support_score,vacuum_score,now_offset_ms,reason
support5_vacuum0,btc-updown-5m-1784337300,2026-07-18T01:15:00,YES,YES,True,0.68,0.31999999999999995,5,1,315.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784337300,2026-07-18T01:15:00,YES,YES,True,0.68,0.31999999999999995,5,1,315.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784337600,2026-07-18T01:20:00,YES,YES,True,0.65,0.35,5,1,314.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784337600,2026-07-18T01:20:00,YES,YES,True,0.65,0.35,5,1,314.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784337900,2026-07-18T01:25:00,YES,YES,True,0.63,0.37,5,1,305.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784337900,2026-07-18T01:25:00,YES,YES,True,0.63,0.37,5,1,305.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784337900,2026-07-18T01:25:00,YES,YES,True,0.62,0.38,5,2,568.0,loser_bid_drop_insufficient
support5_vacuum3,btc-updown-5m-1784337900,2026-07-18T01:25:00,YES,YES,True,0.62,0.38,5,3,795.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784338200,2026-07-18T01:30:00,YES,NO,False,0.56,-0.56,5,1,309.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784338200,2026-07-18T01:30:00,YES,NO,False,0.56,-0.56,5,1,309.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784338500,2026-07-18T01:35:00,YES,YES,True,0.51,0.49,5,0,309.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784338500,2026-07-18T01:35:00,YES,YES,True,0.51,0.49,5,1,353.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784338500,2026-07-18T01:35:00,YES,YES,True,0.51,0.49,5,2,572.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784338800,2026-07-18T01:40:00,YES,YES,True,0.53,0.47,5,1,330.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784338800,2026-07-18T01:40:00,YES,YES,True,0.53,0.47,5,1,330.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784339100,2026-07-18T01:45:00,YES,NO,False,0.59,-0.59,5,1,305.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784339100,2026-07-18T01:45:00,YES,NO,False,0.59,-0.59,5,1,305.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784339400,2026-07-18T01:50:00,NO,YES,False,0.55,-0.55,5,1,394.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784339400,2026-07-18T01:50:00,NO,YES,False,0.55,-0.55,5,1,394.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784339700,2026-07-18T01:55:00,NO,NO,True,0.54,0.45999999999999996,5,1,335.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784339700,2026-07-18T01:55:00,NO,NO,True,0.54,0.45999999999999996,5,1,335.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784340000,2026-07-18T02:00:00,NO,NO,True,0.51,0.49,5,0,330.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784340300,2026-07-18T02:05:00,YES,YES,True,0.63,0.37,5,1,348.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784340300,2026-07-18T02:05:00,YES,YES,True,0.63,0.37,5,1,348.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784340600,2026-07-18T02:10:00,YES,YES,True,0.6,0.4,5,1,322.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784340600,2026-07-18T02:10:00,YES,YES,True,0.6,0.4,5,1,322.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784340900,2026-07-18T02:15:00,YES,YES,True,0.53,0.47,5,3,351.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784340900,2026-07-18T02:15:00,YES,YES,True,0.53,0.47,5,3,351.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784340900,2026-07-18T02:15:00,YES,YES,True,0.53,0.47,5,3,351.0,loser_bid_drop_insufficient
support5_vacuum3,btc-updown-5m-1784340900,2026-07-18T02:15:00,YES,YES,True,0.53,0.47,5,3,351.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784341200,2026-07-18T02:20:00,NO,YES,False,0.53,-0.53,5,3,318.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784341200,2026-07-18T02:20:00,NO,YES,False,0.53,-0.53,5,3,318.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784341200,2026-07-18T02:20:00,NO,YES,False,0.53,-0.53,5,3,318.0,loser_bid_drop_insufficient
support5_vacuum3,btc-updown-5m-1784341200,2026-07-18T02:20:00,NO,YES,False,0.53,-0.53,5,3,318.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784341500,2026-07-18T02:25:00,NO,YES,False,0.54,-0.54,5,1,318.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784341500,2026-07-18T02:25:00,NO,YES,False,0.54,-0.54,5,1,318.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784341800,2026-07-18T02:30:00,NO,YES,False,0.52,-0.52,5,3,332.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784341800,2026-07-18T02:30:00,NO,YES,False,0.52,-0.52,5,3,332.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784341800,2026-07-18T02:30:00,NO,YES,False,0.52,-0.52,5,3,332.0,loser_bid_drop_insufficient
support5_vacuum3,btc-updown-5m-1784341800,2026-07-18T02:30:00,NO,YES,False,0.52,-0.52,5,3,332.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784342100,2026-07-18T02:35:00,NO,YES,False,0.62,-0.62,5,1,469.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784342100,2026-07-18T02:35:00,NO,YES,False,0.62,-0.62,5,1,469.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784342400,2026-07-18T02:40:00,YES,NO,False,0.54,-0.54,5,1,315.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784342400,2026-07-18T02:40:00,YES,NO,False,0.54,-0.54,5,1,315.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784342700,2026-07-18T02:45:00,YES,YES,True,0.56,0.43999999999999995,5,1,354.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784342700,2026-07-18T02:45:00,YES,YES,True,0.56,0.43999999999999995,5,1,354.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784343000,2026-07-18T02:50:00,YES,NO,False,0.51,-0.51,5,0,416.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784343300,2026-07-18T02:55:00,YES,NO,False,0.52,-0.52,5,3,345.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784343300,2026-07-18T02:55:00,YES,NO,False,0.52,-0.52,5,3,345.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784343300,2026-07-18T02:55:00,YES,NO,False,0.52,-0.52,5,3,345.0,loser_bid_drop_insufficient
support5_vacuum3,btc-updown-5m-1784343300,2026-07-18T02:55:00,YES,NO,False,0.52,-0.52,5,3,345.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784343600,2026-07-18T03:00:00,NO,NO,True,0.61,0.39,5,1,343.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784343600,2026-07-18T03:00:00,NO,NO,True,0.61,0.39,5,1,343.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784343900,2026-07-18T03:05:00,YES,YES,True,0.61,0.39,5,1,335.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784343900,2026-07-18T03:05:00,YES,YES,True,0.61,0.39,5,1,335.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784344200,2026-07-18T03:10:00,YES,YES,True,0.69,0.31000000000000005,5,1,314.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784344200,2026-07-18T03:10:00,YES,YES,True,0.69,0.31000000000000005,5,1,314.0,loser_bid_drop_insufficient
