rule,slug,round_end_utc,side,winning_side,hit,entry_ask_proxy,pnl_proxy_1x,support_score,vacuum_score,now_offset_ms,reason
support5_vacuum1,btc-updown-5m-1784318400,2026-07-17T20:00:00,NO,NO,True,0.53,0.47,5,1,364.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784318700,2026-07-17T20:05:00,YES,NO,False,0.51,-0.51,5,0,332.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784318700,2026-07-17T20:05:00,YES,NO,False,0.52,-0.52,5,1,824.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784319000,2026-07-17T20:10:00,NO,NO,True,0.51,0.49,5,0,325.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784319300,2026-07-17T20:15:00,YES,YES,True,0.51,0.49,5,0,343.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784319600,2026-07-17T20:20:00,YES,YES,True,0.51,0.49,5,0,314.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784319600,2026-07-17T20:20:00,YES,YES,True,0.52,0.48,5,1,619.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784319900,2026-07-17T20:25:00,YES,NO,False,0.51,-0.51,5,0,305.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784319900,2026-07-17T20:25:00,YES,NO,False,0.52,-0.52,5,1,717.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784320200,2026-07-17T20:30:00,YES,NO,False,0.51,-0.51,5,0,314.0,loser_bid_drop_insufficient
